,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
9,Iraq,NCD_DTH_TOT,Total NCD Deaths,numeric,EMR,Eastern Mediterranean,Country,IRQ,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,107256,,,69316,,165477,107 000 [69 300-165 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,EMR,Eastern Mediterranean,Country,IRQ,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,15074.0,,,11559.0,,18451.0,15 074 [11 559-18 451],,,EN,2024-10-02T22:00:00.000Z
12,Oman,NCD_DTH_TOT,Total NCD Deaths,numeric,EMR,Eastern Mediterranean,Country,OMN,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,11011,,,6802,,16396,11 000 [6800-16 400],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,EMR,Eastern Mediterranean,Country,OMN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,1815.0,,,1267.0,,2297.0,1815 [1267-2297],,,EN,2024-10-02T22:00:00.000Z
18,Afghanistan,NCD_DTH_TOT,Total NCD Deaths,numeric,EMR,Eastern Mediterranean,Country,AFG,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,118581,,,60201,,208945,119 000 [60 200-209 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,EMR,Eastern Mediterranean,Country,AFG,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,21992.0,,,17456.0,,27046.0,21 992 [17 456-27 046],,,EN,2024-10-02T22:00:00.000Z
19,Sudan,NCD_DTH_TOT,Total NCD Deaths,numeric,EMR,Eastern Mediterranean,Country,SDN,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,119215,,,62524,,193157,119 000 [62 500-193 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,EMR,Eastern Mediterranean,Country,SDN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,14669.0,,,8954.0,,20387.0,14 669 [8954-20 387],,,EN,2024-10-02T22:00:00.000Z
44,Morocco,NCD_DTH_TOT,Total NCD Deaths,numeric,EMR,Eastern Mediterranean,Country,MAR,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,180357,,,109336,,282466,180 000 [109 000-282 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,EMR,Eastern Mediterranean,Country,MAR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,19344.0,,,13363.0,,25118.0,19 344 [13 363-25 118],,,EN,2024-10-02T22:00:00.000Z
46,Jordan,NCD_DTH_TOT,Total NCD Deaths,numeric,EMR,Eastern Mediterranean,Country,JOR,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,19788,,,12316,,28309,19 800 [12 300-28 300],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,EMR,Eastern Mediterranean,Country,JOR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,1938.0,,,1484.0,,2355.0,1938 [1484-2355],,,EN,2024-10-02T22:00:00.000Z
53,Lebanon,NCD_DTH_TOT,Total NCD Deaths,numeric,EMR,Eastern Mediterranean,Country,LBN,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,22813,,,14828,,35854,22 800 [14 800-35 900],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,EMR,Eastern Mediterranean,Country,LBN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,3716.0,,,2633.0,,4752.0,3716 [2633-4752],,,EN,2024-10-02T22:00:00.000Z
65,Libya,NCD_DTH_TOT,Total NCD Deaths,numeric,EMR,Eastern Mediterranean,Country,LBY,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,25613,,,13948,,40632,25 600 [13 900-40 600],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,EMR,Eastern Mediterranean,Country,LBY,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,2269.0,,,1495.0,,2982.0,2269 [1495-2982],,,EN,2024-10-02T22:00:00.000Z
86,Qatar,NCD_DTH_TOT,Total NCD Deaths,numeric,EMR,Eastern Mediterranean,Country,QAT,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,3012,,,1783,,4840,3010 [1780-4840],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,EMR,Eastern Mediterranean,Country,QAT,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,428.9,,,332.2,,516.6,429 [332-517],,,EN,2024-10-02T22:00:00.000Z
88,Iran (Islamic Republic of),NCD_DTH_TOT,Total NCD Deaths,numeric,EMR,Eastern Mediterranean,Country,IRN,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,313065,,,236964,,384066,313 000 [237 000-384 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,EMR,Eastern Mediterranean,Country,IRN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,33910.0,,,25816.0,,41439.0,33 910 [25 816-41 439],,,EN,2024-10-02T22:00:00.000Z
